trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,status,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name
M-00328,PO1000008171,INDAH,BANGUN TENERA RIAU,BANGUN TENERA RIAU,0.289943542,101.4167199,30,Operating,2005,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KAMPAR,ID-1406,RIAU
M-00329,PO1000004200,INDAH,HUTA BAYU MARSADA,HUTA BAYU MARSADA,3.061931583,99.33501848,60,Operating,2014,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SIMALUNGUN,ID-1209,SUMATERA UTARA
M-00330,PO1000007613,SALIM GROUP,MENTARI SUBUR ABADI,MUARA MERANG,-2.143618,104.198207,80,Operating,2014,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),MUSI BANYUASIN,ID-1606,SUMATERA SELATAN
M-00331,PO1000002651,SALIM GROUP,INDRIPLANT,NAPAL,-0.678269293,101.9137708,30,Operating,1999,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",INDRAGIRI HULU,ID-1402,RIAU
M-00332,PO1000002653,SALIM GROUP,SERIKAT PUTRA,LUBUK RAJA,0.126548937,102.1260302,75,Operating,1992,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PELALAWAN,ID-1404,RIAU
M-00333,PO1000004376,SALIM GROUP,RIAU AGROTAMA PLANTATION,NANGA SILAT,0.336148398,111.8137485,30,Operating,2012,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KAPUAS HULU,ID-6108,KALIMANTAN BARAT
M-00334,PO1000006346,INDOGUNTA,GUNTA SAMBA JAYA,MERAPUN,1.374240874,117.1447303,60,Operating,2013,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KUTAI TIMUR,ID-6404,KALIMANTAN TIMUR
M-00335,PO1000002159,SALIM GROUP,GUNUNG MAS RAYA,SUNGAI BANGKO,1.584005387,100.6788722,60,Operating,1994,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HILIR,ID-1409,RIAU
M-00336,PO1000000567,SALIM GROUP,SALIM IVOMAS PRATAMA,KAYANGAN,1.6604885,100.5913724,60,Operating,1989,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HILIR,ID-1409,RIAU
M-00337,PO1000002158,SALIM GROUP,SALIM IVOMAS PRATAMA,SEI DUA,1.7513888,100.5910694,45,Operating,1998,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HILIR,ID-1409,RIAU
M-00338,PO1000006258,SALIM GROUP,SALIM IVOMAS PRATAMA,BALAM,1.762556188,100.6198509,45,Operating,1998,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HILIR,ID-1409,RIAU
M-00339,PO1000002227,SALIM GROUP,PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA,DOLOK,3.164803434,99.43063703,45,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",BATU BARA,ID-1219,SUMATERA UTARA
M-00341,PO1000007548,MUSIM MAS,INDOMAKMUR SAWIT BERJAYA,INDOMAKMUR SAWIT BERJAYA,0.934892965,100.3521736,45,Operating,2003,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HULU,ID-1407,RIAU
M-00342,PO1000006145,KUALA LUMPUR KEPONG (KLK),INDONESIA PLANTATION SYNERGY,INDONESIA PLANTATION SYNERGY,0.782705708,117.9914691,60,Operating,2013,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KUTAI TIMUR,ID-6404,KALIMANTAN TIMUR
M-00343,PO1000007492,UNKNOWN,CONDONG GARUT,CONDONG GARUT,-7.594167,107.66,20,Operating,1980,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",GARUT,ID-3205,JAWA BARAT
M-00344,PO1000004348,UNKNOWN,INKUD AGRITAMA,INKUD AGRITAMA,-0.069241171,100.0222431,15,Operating,2010,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PASAMAN BARAT,ID-1312,SUMATERA BARAT
M-00345,PO1000000279,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,MUARA BULIAN,-1.586321324,103.2041764,80,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",BATANG HARI,ID-1504,JAMBI
